epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2556,0.94283,5.09626,1.14308,0,0,0,0,0.43552,5.04944,0.85266,1.925e-05,1.925e-05,1.925e-05
2,273.495,0.72884,4.98596,1.00032,0,0,0,0,0.36923,4.94968,0.79682,3.9453e-05,3.9453e-05,3.9453e-05
3,330.295,0.61808,4.79451,0.88771,0,0,0,0,0.36101,4.88869,0.78234,5.88245e-05,5.88245e-05,5.88245e-05
4,5345.28,0.57302,4.57678,0.84919,0,0,0,0,0.37966,4.75368,0.78048,7.73643e-05,7.73643e-05,7.73643e-05
5,9826.76,0.54892,4.42565,0.85136,0.00467,0.01804,0.00475,0.00461,0.40593,4.5701,0.7742,9.50726e-05,9.50726e-05,9.50726e-05
6,16302,0.51305,4.23277,0.84653,0.02124,0.13352,0.02334,0.02112,0.39462,4.37855,0.77377,0.000111949,0.000111949,0.000111949
7,18583.7,0.49346,4.09781,0.84231,0.01727,0.28375,0.02813,0.02686,0.37144,4.1421,0.77585,0.000127994,0.000127994,0.000127994
8,21489.7,0.48851,4.02412,0.84113,0.01752,0.35151,0.02794,0.02703,0.35905,3.9697,0.78039,0.000143208,0.000143208,0.000143208
9,23928.1,0.49831,3.9365,0.85969,0.01894,0.37985,0.03207,0.03123,0.35623,3.80897,0.78381,0.00014728,0.00014728,0.00014728
10,24201.1,0.49912,3.91094,0.83813,0.01863,0.36824,0.03307,0.03217,0.34945,3.70669,0.78643,0.000143815,0.000143815,0.000143815
11,24470.2,0.50501,3.78104,0.84654,0.01932,0.37865,0.03671,0.0357,0.33705,3.55854,0.78738,0.00014035,0.00014035,0.00014035
12,24873.2,0.44092,3.74851,0.82834,0.01971,0.38514,0.04003,0.03887,0.33833,3.48432,0.79081,0.000136885,0.000136885,0.000136885
13,27229.9,0.45487,3.65851,0.82606,0.0199,0.37804,0.04436,0.04339,0.32488,3.42015,0.79135,0.00013342,0.00013342,0.00013342
14,27401.5,0.43631,3.61709,0.83522,0.02012,0.38241,0.04306,0.04204,0.32402,3.34373,0.79249,0.000129955,0.000129955,0.000129955
15,30475.5,0.42853,3.55689,0.82972,0.02087,0.3954,0.04306,0.04205,0.32639,3.28156,0.79168,0.00012649,0.00012649,0.00012649
16,30610.8,0.44523,3.49822,0.83776,0.02177,0.40921,0.04639,0.04518,0.3166,3.24736,0.79066,0.000123025,0.000123025,0.000123025
17,31001.6,0.44363,3.45276,0.83637,0.02724,0.28576,0.04918,0.0473,0.32877,3.22534,0.79529,0.00011956,0.00011956,0.00011956
18,31682,0.43386,3.3661,0.82693,0.02621,0.46899,0.05043,0.04901,0.32511,3.18219,0.79416,0.000116095,0.000116095,0.000116095
19,31744.6,0.43885,3.36917,0.83883,0.02758,0.49281,0.04826,0.04665,0.31138,3.1442,0.79222,0.00011263,0.00011263,0.00011263
20,31801.6,0.42854,3.32906,0.83316,0.02865,0.51148,0.05296,0.05101,0.3174,3.10789,0.79463,0.000109165,0.000109165,0.000109165
21,31874.6,0.41728,3.26788,0.82863,0.03828,0.3139,0.06238,0.06012,0.31306,3.06922,0.7913,0.0001057,0.0001057,0.0001057
22,33071.3,0.42582,3.25155,0.84044,0.07064,0.26057,0.0739,0.07122,0.31307,3.03303,0.79349,0.000102235,0.000102235,0.000102235
23,33158,0.41924,3.21875,0.83076,0.09439,0.25524,0.08632,0.08266,0.3137,3.01323,0.79494,9.877e-05,9.877e-05,9.877e-05
24,33254.6,0.40382,3.1952,0.83147,0.04792,0.35183,0.08581,0.08239,0.30451,3.00778,0.79184,9.5305e-05,9.5305e-05,9.5305e-05
25,35848.1,0.4148,3.16565,0.83082,0.05503,0.35008,0.08519,0.08204,0.30553,2.97817,0.79066,9.184e-05,9.184e-05,9.184e-05
26,37036.9,0.40652,3.1354,0.83484,0.1062,0.23885,0.09221,0.08889,0.31198,2.93777,0.79158,8.8375e-05,8.8375e-05,8.8375e-05
27,38554.5,0.40732,3.09152,0.82623,0.10761,0.25697,0.09353,0.09059,0.29939,2.91806,0.79019,8.491e-05,8.491e-05,8.491e-05
28,40425.8,0.42682,3.0715,0.83729,0.10795,0.27432,0.09976,0.09613,0.30339,2.89285,0.79086,8.1445e-05,8.1445e-05,8.1445e-05
29,42008.4,0.40404,3.0077,0.82805,0.08323,0.14122,0.07156,0.06993,0.30604,2.88454,0.79101,7.798e-05,7.798e-05,7.798e-05
30,43134.7,0.45428,3.036,0.8376,0.13575,0.23745,0.10782,0.10427,0.29587,2.87667,0.78954,7.4515e-05,7.4515e-05,7.4515e-05
31,45956.4,0.40671,2.97259,0.83267,0.12908,0.23878,0.11201,0.10882,0.29337,2.86827,0.79013,7.105e-05,7.105e-05,7.105e-05
32,49525.8,0.40506,2.95844,0.83587,0.17109,0.20197,0.11761,0.11396,0.29422,2.83935,0.79092,6.7585e-05,6.7585e-05,6.7585e-05
33,50979.8,0.38717,2.89558,0.82894,0.14041,0.21097,0.12759,0.1232,0.29315,2.80094,0.7922,6.412e-05,6.412e-05,6.412e-05
34,52381.2,0.4171,2.93355,0.83041,0.14104,0.23948,0.13282,0.12858,0.29306,2.78553,0.79203,6.0655e-05,6.0655e-05,6.0655e-05
35,54511.3,0.4075,2.90517,0.84667,0.13697,0.25469,0.14093,0.13547,0.29607,2.76035,0.79202,5.719e-05,5.719e-05,5.719e-05
36,55762.4,0.41138,2.93898,0.84006,0.11694,0.27004,0.15892,0.15352,0.29661,2.72947,0.79216,5.3725e-05,5.3725e-05,5.3725e-05
37,56976,0.39052,2.85303,0.82854,0.15849,0.26243,0.17205,0.16565,0.29631,2.71919,0.79261,5.026e-05,5.026e-05,5.026e-05
38,57438.8,0.39899,2.87073,0.83254,0.14407,0.28153,0.17589,0.16847,0.29213,2.7176,0.79141,4.6795e-05,4.6795e-05,4.6795e-05
39,60261.4,0.40348,2.82686,0.82809,0.1666,0.27589,0.18394,0.17708,0.28831,2.70578,0.7908,4.333e-05,4.333e-05,4.333e-05
40,61215.1,0.3895,2.79326,0.83394,0.16629,0.28533,0.18979,0.1831,0.28967,2.68569,0.7915,3.9865e-05,3.9865e-05,3.9865e-05
41,62005.6,0.47641,3.00908,0.88831,0.14659,0.28737,0.19453,0.18779,0.30113,2.64098,0.79437,3.64e-05,3.64e-05,3.64e-05
42,62862.9,0.37223,2.90722,0.84011,0.12459,0.30723,0.18621,0.17974,0.30692,2.64753,0.7965,3.2935e-05,3.2935e-05,3.2935e-05
43,63639.9,0.36125,3.06695,0.8207,0.12069,0.30163,0.17331,0.16811,0.30453,2.68507,0.79503,2.947e-05,2.947e-05,2.947e-05
44,63700.7,0.35752,2.73965,0.81433,0.13028,0.28271,0.18226,0.17598,0.30157,2.65799,0.79453,2.6005e-05,2.6005e-05,2.6005e-05
45,63765.7,0.35963,2.70604,0.82858,0.1542,0.28241,0.19276,0.18643,0.30345,2.60844,0.79579,2.254e-05,2.254e-05,2.254e-05
46,63828.6,0.36283,2.86326,0.81481,0.16584,0.28054,0.19665,0.18982,0.30503,2.57382,0.79601,1.9075e-05,1.9075e-05,1.9075e-05
47,63887.4,0.36718,2.68705,0.83132,0.1794,0.26881,0.20142,0.19423,0.30742,2.56375,0.79603,1.561e-05,1.561e-05,1.561e-05
48,63955.3,0.35308,2.67079,0.82147,0.16324,0.29025,0.20462,0.19713,0.30661,2.56066,0.7959,1.2145e-05,1.2145e-05,1.2145e-05
49,64018.2,0.37538,2.64798,0.82082,0.14889,0.2831,0.20306,0.19561,0.30608,2.55616,0.79542,8.68e-06,8.68e-06,8.68e-06
50,64080.2,0.34625,2.63687,0.81519,0.16787,0.28043,0.20687,0.19914,0.30509,2.55011,0.7951,5.215e-06,5.215e-06,5.215e-06
